nohup: ignoring input
[Ideal_FP32 | Seed 1] Epoch 15/100 - Acc: 0.9489, Total Spikes: 4300764.0
[Ideal_FP32 | Seed 1] Epoch 16/100 - Acc: 0.9494, Total Spikes: 4301168.0
[Ideal_FP32 | Seed 1] Epoch 17/100 - Acc: 0.9514, Total Spikes: 4308461.0
[Ideal_FP32 | Seed 1] Epoch 18/100 - Acc: 0.9513, Total Spikes: 4307046.0
[Ideal_FP32 | Seed 1] Epoch 19/100 - Acc: 0.9534, Total Spikes: 4327685.0
[Ideal_FP32 | Seed 1] Epoch 20/100 - Acc: 0.9519, Total Spikes: 4315060.0
[Ideal_FP32 | Seed 1] Epoch 21/100 - Acc: 0.9543, Total Spikes: 4319613.0
[Ideal_FP32 | Seed 1] Epoch 22/100 - Acc: 0.9555, Total Spikes: 4318455.0
[Ideal_FP32 | Seed 1] Epoch 23/100 - Acc: 0.9557, Total Spikes: 4320101.0
[Ideal_FP32 | Seed 1] Epoch 24/100 - Acc: 0.9567, Total Spikes: 4317918.0
[Ideal_FP32 | Seed 1] Epoch 25/100 - Acc: 0.9557, Total Spikes: 4326773.0
[Ideal_FP32 | Seed 1] Epoch 26/100 - Acc: 0.9560, Total Spikes: 4326223.0
[Ideal_FP32 | Seed 1] Epoch 27/100 - Acc: 0.9581, Total Spikes: 4346348.0
[Ideal_FP32 | Seed 1] Epoch 28/100 - Acc: 0.9589, Total Spikes: 4311982.0
[Ideal_FP32 | Seed 1] Epoch 29/100 - Acc: 0.9607, Total Spikes: 4350748.0
[Ideal_FP32 | Seed 1] Epoch 30/100 - Acc: 0.9600, Total Spikes: 4341698.0
[Ideal_FP32 | Seed 1] Epoch 31/100 - Acc: 0.9593, Total Spikes: 4315327.0
[Ideal_FP32 | Seed 1] Epoch 32/100 - Acc: 0.9610, Total Spikes: 4330056.0
[Ideal_FP32 | Seed 1] Epoch 33/100 - Acc: 0.9614, Total Spikes: 4340966.0
[Ideal_FP32 | Seed 1] Epoch 34/100 - Acc: 0.9623, Total Spikes: 4351927.0
[Ideal_FP32 | Seed 1] Epoch 35/100 - Acc: 0.9617, Total Spikes: 4340858.0
[Ideal_FP32 | Seed 1] Epoch 36/100 - Acc: 0.9631, Total Spikes: 4329993.0
[Ideal_FP32 | Seed 1] Epoch 37/100 - Acc: 0.9627, Total Spikes: 4339443.0
[Ideal_FP32 | Seed 1] Epoch 38/100 - Acc: 0.9642, Total Spikes: 4334321.0
[Ideal_FP32 | Seed 1] Epoch 39/100 - Acc: 0.9626, Total Spikes: 4320698.0
[Ideal_FP32 | Seed 1] Epoch 40/100 - Acc: 0.9643, Total Spikes: 4353064.0
[Ideal_FP32 | Seed 1] Epoch 41/100 - Acc: 0.9633, Total Spikes: 4328013.0
[Ideal_FP32 | Seed 1] Epoch 42/100 - Acc: 0.9633, Total Spikes: 4342426.0
[Ideal_FP32 | Seed 1] Epoch 43/100 - Acc: 0.9631, Total Spikes: 4318196.0
[Ideal_FP32 | Seed 1] Epoch 44/100 - Acc: 0.9650, Total Spikes: 4310823.0
[Ideal_FP32 | Seed 1] Epoch 45/100 - Acc: 0.9636, Total Spikes: 4328722.0
[Ideal_FP32 | Seed 1] Epoch 46/100 - Acc: 0.9645, Total Spikes: 4321748.0
[Ideal_FP32 | Seed 1] Epoch 47/100 - Acc: 0.9642, Total Spikes: 4336717.0
[Ideal_FP32 | Seed 1] Epoch 48/100 - Acc: 0.9643, Total Spikes: 4338092.0
[Ideal_FP32 | Seed 1] Epoch 49/100 - Acc: 0.9643, Total Spikes: 4346397.0
[Ideal_FP32 | Seed 1] Epoch 50/100 - Acc: 0.9653, Total Spikes: 4330777.0
[Ideal_FP32 | Seed 1] Epoch 51/100 - Acc: 0.9640, Total Spikes: 4318017.0
[Ideal_FP32 | Seed 1] Epoch 52/100 - Acc: 0.9654, Total Spikes: 4332477.0
[Ideal_FP32 | Seed 1] Epoch 53/100 - Acc: 0.9644, Total Spikes: 4334177.0
[Ideal_FP32 | Seed 1] Epoch 54/100 - Acc: 0.9640, Total Spikes: 4359497.0
[Ideal_FP32 | Seed 1] Epoch 55/100 - Acc: 0.9648, Total Spikes: 4346139.0
[Ideal_FP32 | Seed 1] Epoch 56/100 - Acc: 0.9659, Total Spikes: 4354371.0
[Ideal_FP32 | Seed 1] Epoch 57/100 - Acc: 0.9656, Total Spikes: 4335018.0
[Ideal_FP32 | Seed 1] Epoch 58/100 - Acc: 0.9669, Total Spikes: 4335812.0
[Ideal_FP32 | Seed 1] Epoch 59/100 - Acc: 0.9658, Total Spikes: 4327505.0
[Ideal_FP32 | Seed 1] Epoch 60/100 - Acc: 0.9649, Total Spikes: 4336669.0
[Ideal_FP32 | Seed 1] Epoch 61/100 - Acc: 0.9652, Total Spikes: 4322705.0
[Ideal_FP32 | Seed 1] Epoch 62/100 - Acc: 0.9643, Total Spikes: 4340485.0
[Ideal_FP32 | Seed 1] Epoch 63/100 - Acc: 0.9667, Total Spikes: 4336856.0
[Ideal_FP32 | Seed 1] Epoch 64/100 - Acc: 0.9654, Total Spikes: 4318337.0
[Ideal_FP32 | Seed 1] Epoch 65/100 - Acc: 0.9658, Total Spikes: 4329606.0
[Ideal_FP32 | Seed 1] Epoch 66/100 - Acc: 0.9660, Total Spikes: 4338144.0
[Ideal_FP32 | Seed 1] Epoch 67/100 - Acc: 0.9667, Total Spikes: 4326832.0
[Ideal_FP32 | Seed 1] Epoch 68/100 - Acc: 0.9662, Total Spikes: 4344137.0
[Ideal_FP32 | Seed 1] Epoch 69/100 - Acc: 0.9663, Total Spikes: 4345226.0
[Ideal_FP32 | Seed 1] Epoch 70/100 - Acc: 0.9664, Total Spikes: 4329572.0
[Ideal_FP32 | Seed 1] Epoch 71/100 - Acc: 0.9644, Total Spikes: 4336949.0
[Ideal_FP32 | Seed 1] Epoch 72/100 - Acc: 0.9668, Total Spikes: 4353994.0
[Ideal_FP32 | Seed 1] Epoch 73/100 - Acc: 0.9662, Total Spikes: 4347837.0
[Ideal_FP32 | Seed 1] Epoch 74/100 - Acc: 0.9648, Total Spikes: 4343478.0
[Ideal_FP32 | Seed 1] Epoch 75/100 - Acc: 0.9657, Total Spikes: 4328344.0
[Ideal_FP32 | Seed 1] Epoch 76/100 - Acc: 0.9671, Total Spikes: 4330754.0
[Ideal_FP32 | Seed 1] Epoch 77/100 - Acc: 0.9665, Total Spikes: 4350096.0
[Ideal_FP32 | Seed 1] Epoch 78/100 - Acc: 0.9649, Total Spikes: 4339462.0
[Ideal_FP32 | Seed 1] Epoch 79/100 - Acc: 0.9662, Total Spikes: 4324666.0
[Ideal_FP32 | Seed 1] Epoch 80/100 - Acc: 0.9669, Total Spikes: 4330280.0
[Ideal_FP32 | Seed 1] Epoch 81/100 - Acc: 0.9665, Total Spikes: 4333334.0
[Ideal_FP32 | Seed 1] Epoch 82/100 - Acc: 0.9668, Total Spikes: 4326333.0
[Ideal_FP32 | Seed 1] Epoch 83/100 - Acc: 0.9664, Total Spikes: 4343835.0
[Ideal_FP32 | Seed 1] Epoch 84/100 - Acc: 0.9672, Total Spikes: 4311048.0
[Ideal_FP32 | Seed 1] Epoch 85/100 - Acc: 0.9671, Total Spikes: 4345602.0
[Ideal_FP32 | Seed 1] Epoch 86/100 - Acc: 0.9656, Total Spikes: 4325128.0
[Ideal_FP32 | Seed 1] Epoch 87/100 - Acc: 0.9669, Total Spikes: 4339553.0
[Ideal_FP32 | Seed 1] Epoch 88/100 - Acc: 0.9674, Total Spikes: 4324755.0
[Ideal_FP32 | Seed 1] Epoch 89/100 - Acc: 0.9662, Total Spikes: 4342948.0
[Ideal_FP32 | Seed 1] Epoch 90/100 - Acc: 0.9660, Total Spikes: 4330051.0
[Ideal_FP32 | Seed 1] Epoch 91/100 - Acc: 0.9674, Total Spikes: 4324592.0
[Ideal_FP32 | Seed 1] Epoch 92/100 - Acc: 0.9668, Total Spikes: 4339657.0
[Ideal_FP32 | Seed 1] Epoch 93/100 - Acc: 0.9662, Total Spikes: 4344057.0
[Ideal_FP32 | Seed 1] Epoch 94/100 - Acc: 0.9670, Total Spikes: 4349102.0
[Ideal_FP32 | Seed 1] Epoch 95/100 - Acc: 0.9661, Total Spikes: 4335847.0
[Ideal_FP32 | Seed 1] Epoch 96/100 - Acc: 0.9672, Total Spikes: 4326965.0
[Ideal_FP32 | Seed 1] Epoch 97/100 - Acc: 0.9669, Total Spikes: 4330716.0
[Ideal_FP32 | Seed 1] Epoch 98/100 - Acc: 0.9676, Total Spikes: 4344916.0
[Ideal_FP32 | Seed 1] Epoch 99/100 - Acc: 0.9672, Total Spikes: 4352830.0
[Ideal_FP32 | Seed 1] Epoch 100/100 - Acc: 0.9647, Total Spikes: 4323147.0
[Ideal_FP32 | Seed 2] Epoch 1/100 - Acc: 0.7463, Total Spikes: 3925366.0
[Ideal_FP32 | Seed 2] Epoch 2/100 - Acc: 0.7981, Total Spikes: 4019567.0
[Ideal_FP32 | Seed 2] Epoch 3/100 - Acc: 0.8186, Total Spikes: 4088487.0
[Ideal_FP32 | Seed 2] Epoch 4/100 - Acc: 0.8280, Total Spikes: 4126857.0
[Ideal_FP32 | Seed 2] Epoch 5/100 - Acc: 0.8348, Total Spikes: 4125009.0
[Ideal_FP32 | Seed 2] Epoch 6/100 - Acc: 0.8391, Total Spikes: 4149496.0
[Ideal_FP32 | Seed 2] Epoch 7/100 - Acc: 0.8425, Total Spikes: 4127678.0
[Ideal_FP32 | Seed 2] Epoch 8/100 - Acc: 0.8451, Total Spikes: 4149755.0
[Ideal_FP32 | Seed 2] Epoch 9/100 - Acc: 0.8479, Total Spikes: 4160088.0
[Ideal_FP32 | Seed 2] Epoch 10/100 - Acc: 0.8507, Total Spikes: 4162913.0
[Ideal_FP32 | Seed 2] Epoch 11/100 - Acc: 0.8519, Total Spikes: 4177124.0
[Ideal_FP32 | Seed 2] Epoch 12/100 - Acc: 0.8544, Total Spikes: 4188788.0
[Ideal_FP32 | Seed 2] Epoch 13/100 - Acc: 0.8544, Total Spikes: 4191687.0
[Ideal_FP32 | Seed 2] Epoch 14/100 - Acc: 0.8555, Total Spikes: 4181714.0
[Ideal_FP32 | Seed 2] Epoch 15/100 - Acc: 0.8559, Total Spikes: 4193165.0
[Ideal_FP32 | Seed 2] Epoch 16/100 - Acc: 0.8584, Total Spikes: 4195764.0
[Ideal_FP32 | Seed 2] Epoch 17/100 - Acc: 0.8583, Total Spikes: 4196343.0
[Ideal_FP32 | Seed 2] Epoch 18/100 - Acc: 0.8597, Total Spikes: 4191685.0
[Ideal_FP32 | Seed 2] Epoch 19/100 - Acc: 0.8595, Total Spikes: 4179912.0
[Ideal_FP32 | Seed 2] Epoch 20/100 - Acc: 0.8587, Total Spikes: 4204809.0
[Ideal_FP32 | Seed 2] Epoch 21/100 - Acc: 0.8606, Total Spikes: 4195802.0
[Ideal_FP32 | Seed 2] Epoch 22/100 - Acc: 0.8618, Total Spikes: 4197893.0
[Ideal_FP32 | Seed 2] Epoch 23/100 - Acc: 0.8627, Total Spikes: 4202669.0
[Ideal_FP32 | Seed 2] Epoch 24/100 - Acc: 0.8632, Total Spikes: 4192743.0
[Ideal_FP32 | Seed 2] Epoch 25/100 - Acc: 0.8636, Total Spikes: 4216198.0
[Ideal_FP32 | Seed 2] Epoch 26/100 - Acc: 0.8647, Total Spikes: 4206433.0
[Ideal_FP32 | Seed 2] Epoch 27/100 - Acc: 0.8641, Total Spikes: 4210675.0
[Ideal_FP32 | Seed 2] Epoch 28/100 - Acc: 0.8645, Total Spikes: 4206850.0
[Ideal_FP32 | Seed 2] Epoch 29/100 - Acc: 0.8654, Total Spikes: 4213107.0
[Ideal_FP32 | Seed 2] Epoch 30/100 - Acc: 0.8648, Total Spikes: 4196999.0
[Ideal_FP32 | Seed 2] Epoch 31/100 - Acc: 0.8651, Total Spikes: 4206660.0
[Ideal_FP32 | Seed 2] Epoch 32/100 - Acc: 0.8665, Total Spikes: 4200371.0
[Ideal_FP32 | Seed 2] Epoch 33/100 - Acc: 0.8665, Total Spikes: 4211814.0
[Ideal_FP32 | Seed 2] Epoch 34/100 - Acc: 0.8668, Total Spikes: 4174926.0
[Ideal_FP32 | Seed 2] Epoch 35/100 - Acc: 0.8661, Total Spikes: 4185238.0
[Ideal_FP32 | Seed 2] Epoch 36/100 - Acc: 0.8664, Total Spikes: 4220584.0
[Ideal_FP32 | Seed 2] Epoch 37/100 - Acc: 0.8677, Total Spikes: 4202837.0
[Ideal_FP32 | Seed 2] Epoch 38/100 - Acc: 0.8677, Total Spikes: 4214381.0
[Ideal_FP32 | Seed 2] Epoch 39/100 - Acc: 0.8683, Total Spikes: 4201681.0
[Ideal_FP32 | Seed 2] Epoch 40/100 - Acc: 0.8673, Total Spikes: 4198711.0
[Ideal_FP32 | Seed 2] Epoch 41/100 - Acc: 0.8689, Total Spikes: 4195459.0
[Ideal_FP32 | Seed 2] Epoch 42/100 - Acc: 0.8691, Total Spikes: 4216109.0
[Ideal_FP32 | Seed 2] Epoch 43/100 - Acc: 0.8682, Total Spikes: 4220668.0
[Ideal_FP32 | Seed 2] Epoch 44/100 - Acc: 0.8694, Total Spikes: 4207567.0
[Ideal_FP32 | Seed 2] Epoch 45/100 - Acc: 0.8673, Total Spikes: 4224977.0
[Ideal_FP32 | Seed 2] Epoch 46/100 - Acc: 0.8685, Total Spikes: 4221376.0
[Ideal_FP32 | Seed 2] Epoch 47/100 - Acc: 0.8680, Total Spikes: 4236412.0
[Ideal_FP32 | Seed 2] Epoch 48/100 - Acc: 0.8682, Total Spikes: 4213594.0
[Ideal_FP32 | Seed 2] Epoch 49/100 - Acc: 0.9473, Total Spikes: 4093452.0
[Ideal_FP32 | Seed 2] Epoch 50/100 - Acc: 0.9594, Total Spikes: 4173773.0
[Ideal_FP32 | Seed 2] Epoch 51/100 - Acc: 0.9624, Total Spikes: 4182461.0
[Ideal_FP32 | Seed 2] Epoch 52/100 - Acc: 0.9624, Total Spikes: 4153392.0
[Ideal_FP32 | Seed 2] Epoch 53/100 - Acc: 0.9644, Total Spikes: 4176854.0
[Ideal_FP32 | Seed 2] Epoch 54/100 - Acc: 0.9654, Total Spikes: 4176903.0
[Ideal_FP32 | Seed 2] Epoch 55/100 - Acc: 0.9643, Total Spikes: 4166217.0
