nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 94/100 - Acc: 0.9661, Total Spikes: 4050425.0
[Ideal_FP32 | Seed 0] Epoch 95/100 - Acc: 0.9673, Total Spikes: 4034592.0
[Ideal_FP32 | Seed 0] Epoch 96/100 - Acc: 0.9662, Total Spikes: 4026033.0
[Ideal_FP32 | Seed 0] Epoch 97/100 - Acc: 0.9652, Total Spikes: 4036839.0
[Ideal_FP32 | Seed 0] Epoch 98/100 - Acc: 0.9656, Total Spikes: 4042721.0
[Ideal_FP32 | Seed 0] Epoch 99/100 - Acc: 0.9662, Total Spikes: 4035537.0
[Ideal_FP32 | Seed 0] Epoch 100/100 - Acc: 0.9648, Total Spikes: 4032015.0
[Ideal_FP32 | Seed 1] Epoch 1/100 - Acc: 0.8204, Total Spikes: 4089129.0
[Ideal_FP32 | Seed 1] Epoch 2/100 - Acc: 0.8810, Total Spikes: 4232986.0
[Ideal_FP32 | Seed 1] Epoch 3/100 - Acc: 0.9028, Total Spikes: 4225037.0
[Ideal_FP32 | Seed 1] Epoch 4/100 - Acc: 0.9147, Total Spikes: 4220864.0
[Ideal_FP32 | Seed 1] Epoch 5/100 - Acc: 0.9235, Total Spikes: 4227343.0
[Ideal_FP32 | Seed 1] Epoch 6/100 - Acc: 0.9304, Total Spikes: 4243217.0
[Ideal_FP32 | Seed 1] Epoch 7/100 - Acc: 0.9323, Total Spikes: 4250650.0
[Ideal_FP32 | Seed 1] Epoch 8/100 - Acc: 0.9360, Total Spikes: 4280152.0
[Ideal_FP32 | Seed 1] Epoch 9/100 - Acc: 0.9394, Total Spikes: 4272286.0
[Ideal_FP32 | Seed 1] Epoch 10/100 - Acc: 0.9406, Total Spikes: 4257569.0
[Ideal_FP32 | Seed 1] Epoch 11/100 - Acc: 0.9430, Total Spikes: 4275730.0
[Ideal_FP32 | Seed 1] Epoch 12/100 - Acc: 0.9446, Total Spikes: 4274200.0
[Ideal_FP32 | Seed 1] Epoch 13/100 - Acc: 0.9443, Total Spikes: 4283157.0
[Ideal_FP32 | Seed 1] Epoch 14/100 - Acc: 0.9488, Total Spikes: 4306650.0
[Ideal_FP32 | Seed 1] Epoch 15/100 - Acc: 0.9491, Total Spikes: 4296357.0
[Ideal_FP32 | Seed 1] Epoch 16/100 - Acc: 0.9500, Total Spikes: 4297511.0
[Ideal_FP32 | Seed 1] Epoch 17/100 - Acc: 0.9507, Total Spikes: 4309943.0
[Ideal_FP32 | Seed 1] Epoch 18/100 - Acc: 0.9510, Total Spikes: 4297077.0
[Ideal_FP32 | Seed 1] Epoch 19/100 - Acc: 0.9526, Total Spikes: 4325520.0
[Ideal_FP32 | Seed 1] Epoch 20/100 - Acc: 0.9531, Total Spikes: 4316221.0
[Ideal_FP32 | Seed 1] Epoch 21/100 - Acc: 0.9528, Total Spikes: 4307529.0
[Ideal_FP32 | Seed 1] Epoch 22/100 - Acc: 0.9566, Total Spikes: 4312247.0
[Ideal_FP32 | Seed 1] Epoch 23/100 - Acc: 0.9549, Total Spikes: 4312195.0
[Ideal_FP32 | Seed 1] Epoch 24/100 - Acc: 0.9564, Total Spikes: 4312881.0
[Ideal_FP32 | Seed 1] Epoch 25/100 - Acc: 0.9587, Total Spikes: 4310556.0
[Ideal_FP32 | Seed 1] Epoch 26/100 - Acc: 0.9571, Total Spikes: 4324317.0
[Ideal_FP32 | Seed 1] Epoch 27/100 - Acc: 0.9593, Total Spikes: 4343708.0
[Ideal_FP32 | Seed 1] Epoch 28/100 - Acc: 0.9588, Total Spikes: 4299906.0
[Ideal_FP32 | Seed 1] Epoch 29/100 - Acc: 0.9611, Total Spikes: 4355646.0
[Ideal_FP32 | Seed 1] Epoch 30/100 - Acc: 0.9586, Total Spikes: 4334754.0
[Ideal_FP32 | Seed 1] Epoch 31/100 - Acc: 0.9602, Total Spikes: 4315312.0
[Ideal_FP32 | Seed 1] Epoch 32/100 - Acc: 0.9617, Total Spikes: 4326069.0
[Ideal_FP32 | Seed 1] Epoch 33/100 - Acc: 0.9611, Total Spikes: 4323318.0
[Ideal_FP32 | Seed 1] Epoch 34/100 - Acc: 0.9617, Total Spikes: 4326186.0
[Ideal_FP32 | Seed 1] Epoch 35/100 - Acc: 0.9613, Total Spikes: 4341718.0
[Ideal_FP32 | Seed 1] Epoch 36/100 - Acc: 0.9634, Total Spikes: 4323194.0
[Ideal_FP32 | Seed 1] Epoch 37/100 - Acc: 0.9615, Total Spikes: 4338089.0
[Ideal_FP32 | Seed 1] Epoch 38/100 - Acc: 0.9620, Total Spikes: 4341468.0
[Ideal_FP32 | Seed 1] Epoch 39/100 - Acc: 0.9626, Total Spikes: 4319296.0
[Ideal_FP32 | Seed 1] Epoch 40/100 - Acc: 0.9635, Total Spikes: 4353212.0
[Ideal_FP32 | Seed 1] Epoch 41/100 - Acc: 0.9627, Total Spikes: 4330131.0
[Ideal_FP32 | Seed 1] Epoch 42/100 - Acc: 0.9631, Total Spikes: 4335239.0
